Country,City,Charging_Station_ID,Charging_Station_Type,EV_Model,Manufacturer,Battery_Capacity_kWh,Charging_Start_Time,Charging_End_Time,Charging_Duration_mins,Energy_Delivered_kWh,Charging_Cost_$,Payment_Method,Temperature,Charging_Session_Outcome,Station_Utilization_Rate
Australia,Brisbane,CS-3067,Level 1,BYD Han,BYD,76,14-Mar-25,14-Mar-25,101,64.82,17.44,Card,-3.2,Failed,71.7
China,Shenzhen,CS-1579,Level 2,Chevy Bolt,Chevrolet,66,14-Feb-25,14-Feb-25,161,30.41,8.87,Subscription,16.8,Failed,86.5
Norway,Oslo,CS-3393,Level 1,Porsche Taycan,Porsche,93,10-Jan-25,10-Jan-25,91,44.91,13.77,App,11.6,Aborted,26.3
Australia,Sydney,CS-9385,Level 2,Audi e-tron,Audi,95,7-Mar-25,7-Mar-25,96,71.08,25.46,Card,25.4,Failed,54.9
India,Mumbai,CS-5034,Level 1,Kia EV6,Kia,77,12-Mar-25,12-Mar-25,46,24.26,4.23,Card,6.6,Aborted,79.1
Canada,Toronto,CS-2046,Level 1,BMW i3,BMW,42,4-Apr-25,4-Apr-25,98,39.55,12.51,Card,14.9,Failed,47.3
China,Shanghai,CS-5868,Level 1,Tesla Model 3,Tesla,60,27-Jan-25,27-Jan-25,38,56.99,14.34,Card,18.3,Completed,14
Norway,Trondheim,CS-9112,Level 2,Kia EV6,Kia,77,3-Apr-25,3-Apr-25,88,43.64,15.46,Card,30.3,Failed,39.3
Canada,Vancouver,CS-3809,Level 2,Tesla Model 3,Tesla,60,14-Jan-25,14-Jan-25,117,7.81,2.1,Subscription,6.5,Aborted,50.3
Japan,Osaka,CS-7085,Level 2,BYD Han,BYD,76,1-Feb-25,1-Feb-25,171,13.44,5.28,App,26.8,Aborted,54.6
India,Mumbai,CS-4874,Level 1,Chevy Bolt,Chevrolet,66,5-Mar-25,5-Mar-25,169,36.06,9.02,Card,0.5,Aborted,74.3
Japan,Osaka,CS-1617,DC Fast,BMW i3,BMW,42,6-Mar-25,6-Mar-25,170,38.05,5.4,App,1.5,Failed,69.1
China,Shenzhen,CS-2997,DC Fast,Audi e-tron,Audi,95,21-Feb-25,21-Feb-25,144,79.55,20.66,Subscription,7,Completed,39.5
Germany,Munich,CS-3938,DC Fast,BYD Han,BYD,76,1-Feb-25,1-Feb-25,93,61.57,19.55,Subscription,-3.9,Aborted,31.2
Australia,Brisbane,CS-9848,DC Fast,Chevy Bolt,Chevrolet,66,6-Apr-25,6-Apr-25,28,40.59,6.14,Subscription,19.8,Aborted,21.8
France,Paris,CS-5703,Level 2,BYD Han,BYD,76,17-Feb-25,17-Feb-25,43,18.55,4.31,Card,11.5,Completed,42.8
Australia,Melbourne,CS-7420,DC Fast,Tesla Model 3,Tesla,60,18-Feb-25,18-Feb-25,50,33.53,8.99,App,16,Aborted,86.5
Norway,Trondheim,CS-7483,DC Fast,Audi e-tron,Audi,95,6-Mar-25,6-Mar-25,154,36.89,12.23,Subscription,20.7,Failed,31.1
Norway,Oslo,CS-5332,Level 2,Chevy Bolt,Chevrolet,66,11-Feb-25,11-Feb-25,86,39.04,6.54,App,23.2,Failed,66.4
India,Delhi,CS-8920,Level 2,Audi e-tron,Audi,95,4-Apr-25,4-Apr-25,158,89.03,30.15,App,-0.1,Failed,53.5
Canada,Vancouver,CS-7783,Level 1,BMW i3,BMW,42,5-Mar-25,5-Mar-25,89,6.56,2.54,App,32,Failed,30.5
Norway,Oslo,CS-5623,Level 2,Chevy Bolt,Chevrolet,66,2-Apr-25,2-Apr-25,152,21.54,5.79,Card,-0.6,Failed,56.9
France,Paris,CS-1095,Level 2,Renault Zoe,Renault,52,25-Jan-25,25-Jan-25,72,34.98,4.05,App,23.7,Completed,64.5
UK,London,CS-9731,Level 2,Renault Zoe,Renault,52,16-Mar-25,17-Mar-25,55,24.12,9.18,App,21,Aborted,35.7
USA,New York,CS-4813,Level 1,BYD Han,BYD,76,9-Feb-25,9-Feb-25,74,43,13.63,Card,11.7,Completed,84.7
USA,Los Angeles,CS-5191,Level 2,Kia EV6,Kia,77,19-Jan-25,19-Jan-25,62,72.44,28.15,Card,-4.6,Failed,58.2
India,Delhi,CS-7278,Level 1,Kia EV6,Kia,77,23-Jan-25,23-Jan-25,179,44.12,10.95,Subscription,13.7,Completed,74.7
India,Mumbai,CS-8582,DC Fast,Kia EV6,Kia,77,11-Jan-25,11-Jan-25,180,23.52,3.67,App,26.6,Failed,64
France,Paris,CS-6879,DC Fast,BYD Han,BYD,76,1-Apr-25,1-Apr-25,178,68.69,23.91,App,-1.5,Failed,17.6
UK,Manchester,CS-9725,Level 2,Audi e-tron,Audi,95,18-Mar-25,18-Mar-25,78,5.61,1.21,App,33.2,Aborted,56.6
Australia,Sydney,CS-7368,Level 1,Hyundai Kona Electric,Hyundai,64,20-Feb-25,20-Feb-25,107,45.87,5.44,App,7.3,Aborted,64.9
China,Shenzhen,CS-5234,DC Fast,Nissan Leaf,Nissan,40,7-Apr-25,7-Apr-25,178,37.06,6.99,Card,3.8,Completed,48.3
Norway,Trondheim,CS-2989,Level 2,BYD Han,BYD,76,13-Jan-25,13-Jan-25,110,34.53,9.14,Subscription,27.1,Completed,70.9
Australia,Sydney,CS-1049,DC Fast,Renault Zoe,Renault,52,10-Jan-25,10-Jan-25,129,29.82,6.22,Card,-2.5,Failed,82.2
France,Nice,CS-9609,Level 2,Renault Zoe,Renault,52,23-Mar-25,23-Mar-25,53,12.73,4.54,Card,22.2,Failed,56.7
Germany,Hamburg,CS-1321,Level 2,Kia EV6,Kia,77,23-Mar-25,23-Mar-25,29,37.65,9.56,Subscription,-2.7,Aborted,63.8
China,Shenzhen,CS-6964,Level 1,Tesla Model 3,Tesla,60,27-Jan-25,27-Jan-25,116,19,1.92,Subscription,-2.1,Aborted,37.6
Germany,Hamburg,CS-1968,Level 2,Tesla Model 3,Tesla,60,28-Mar-25,28-Mar-25,32,59.24,14.31,App,2.2,Completed,71.3
Canada,Vancouver,CS-3057,Level 2,Porsche Taycan,Porsche,93,26-Jan-25,26-Jan-25,129,81.53,30.33,Card,22.3,Failed,80
UK,Birmingham,CS-5321,DC Fast,Audi e-tron,Audi,95,18-Jan-25,18-Jan-25,45,21.06,5.5,Card,24.1,Completed,76.8
USA,Los Angeles,CS-8585,Level 1,Kia EV6,Kia,77,14-Jan-25,14-Jan-25,154,35.54,7.6,Card,13.4,Completed,32.1
Germany,Berlin,CS-6151,Level 1,Porsche Taycan,Porsche,93,25-Mar-25,25-Mar-25,172,72.41,26.44,Card,3.2,Completed,57.5
Norway,Trondheim,CS-4312,Level 1,Tesla Model 3,Tesla,60,27-Jan-25,27-Jan-25,77,45.73,10.09,Subscription,3.7,Completed,21.2
China,Beijing,CS-9219,Level 2,BYD Han,BYD,76,25-Jan-25,25-Jan-25,96,46,15.26,Card,7.1,Completed,88.9
Japan,Tokyo,CS-8099,DC Fast,Porsche Taycan,Porsche,93,14-Mar-25,14-Mar-25,91,29.21,7.8,Subscription,31.5,Failed,64.3
Japan,Osaka,CS-2520,DC Fast,Tesla Model 3,Tesla,60,5-Feb-25,5-Feb-25,103,56.79,17.12,App,22.9,Aborted,21.9
Canada,Toronto,CS-1998,DC Fast,Renault Zoe,Renault,52,28-Feb-25,28-Feb-25,136,16.33,2.74,Card,27.2,Completed,55
Canada,Montreal,CS-3947,Level 2,Renault Zoe,Renault,52,4-Apr-25,4-Apr-25,49,23.26,4.11,Subscription,-1.8,Aborted,77.8
Germany,Hamburg,CS-1803,DC Fast,Chevy Bolt,Chevrolet,66,16-Mar-25,16-Mar-25,28,21.38,6.46,Card,29.9,Completed,74.4
Australia,Brisbane,CS-6243,Level 2,Renault Zoe,Renault,52,25-Jan-25,25-Jan-25,70,27.53,9.93,App,33.3,Completed,26.9
France,Nice,CS-2050,DC Fast,Nissan Leaf,Nissan,40,24-Mar-25,24-Mar-25,137,37.01,11.42,Card,10.9,Completed,54.2
China,Shanghai,CS-8598,Level 2,Kia EV6,Kia,77,26-Jan-25,26-Jan-25,151,51.71,9.96,Subscription,30.3,Aborted,17.9
Norway,Bergen,CS-9467,Level 1,Chevy Bolt,Chevrolet,66,14-Feb-25,14-Feb-25,109,24.09,2.74,Subscription,0.8,Aborted,54.3
Australia,Brisbane,CS-6950,Level 2,Porsche Taycan,Porsche,93,23-Mar-25,23-Mar-25,90,18.41,3.66,Subscription,28.3,Aborted,54.1
India,Delhi,CS-9852,DC Fast,Kia EV6,Kia,77,17-Jan-25,17-Jan-25,179,58.25,13.88,App,1.8,Failed,53.7
UK,Birmingham,CS-6010,DC Fast,Tesla Model 3,Tesla,60,14-Feb-25,14-Feb-25,149,6.86,2.43,Card,25.6,Aborted,21
France,Paris,CS-6962,Level 1,BMW i3,BMW,42,14-Mar-25,14-Mar-25,17,13.09,3.1,Subscription,20.5,Failed,83
Norway,Oslo,CS-4415,DC Fast,Tesla Model 3,Tesla,60,4-Apr-25,5-Apr-25,151,35.34,3.66,Subscription,6,Aborted,11.4
Canada,Toronto,CS-1671,DC Fast,Nissan Leaf,Nissan,40,5-Mar-25,5-Mar-25,39,23.35,4.02,Subscription,5.1,Aborted,31.4
Canada,Toronto,CS-4164,DC Fast,Audi e-tron,Audi,95,6-Feb-25,6-Feb-25,118,46.31,8.01,Card,7,Completed,62.3
USA,New York,CS-6933,DC Fast,Porsche Taycan,Porsche,93,14-Mar-25,14-Mar-25,112,38.19,9.27,Card,23.1,Completed,50
Canada,Montreal,CS-2409,DC Fast,Audi e-tron,Audi,95,12-Jan-25,12-Jan-25,159,92.96,36.45,Card,4.2,Failed,81
Norway,Bergen,CS-8294,DC Fast,Tesla Model 3,Tesla,60,15-Feb-25,15-Feb-25,34,42.64,7.85,Subscription,21.3,Completed,84.3
India,Mumbai,CS-6440,Level 2,Chevy Bolt,Chevrolet,66,19-Feb-25,19-Feb-25,165,13.8,4.78,Card,7,Failed,29.2
Canada,Montreal,CS-5269,DC Fast,Renault Zoe,Renault,52,11-Jan-25,11-Jan-25,99,23.04,7.42,Subscription,-1.9,Failed,87.9
USA,New York,CS-5687,DC Fast,Porsche Taycan,Porsche,93,12-Feb-25,12-Feb-25,74,78.8,15.93,Subscription,10.9,Aborted,12.4
China,Shanghai,CS-2501,Level 2,Kia EV6,Kia,77,13-Feb-25,14-Feb-25,73,30.62,11.71,Card,22.2,Failed,40.4
Australia,Melbourne,CS-4242,DC Fast,Chevy Bolt,Chevrolet,66,23-Feb-25,23-Feb-25,33,10,1.46,Subscription,1.2,Aborted,35.3
Germany,Berlin,CS-7239,Level 1,Tesla Model 3,Tesla,60,9-Mar-25,9-Mar-25,93,29.46,9.67,Card,-1.5,Aborted,45.9
Japan,Yokohama,CS-7027,Level 1,Porsche Taycan,Porsche,93,14-Feb-25,14-Feb-25,41,7.31,1.51,Subscription,18.9,Aborted,79.1
USA,Los Angeles,CS-7626,DC Fast,Porsche Taycan,Porsche,93,28-Feb-25,28-Feb-25,114,73.57,23.36,Card,17.9,Completed,64.8
UK,London,CS-2475,Level 1,Hyundai Kona Electric,Hyundai,64,10-Jan-25,10-Jan-25,92,20.84,3,App,6,Aborted,48.7
Germany,Munich,CS-2922,DC Fast,Hyundai Kona Electric,Hyundai,64,26-Mar-25,26-Mar-25,78,47.53,11.82,Card,13.3,Completed,34.4
Canada,Vancouver,CS-4305,Level 2,BYD Han,BYD,76,22-Mar-25,23-Mar-25,112,62.09,12.35,App,27.6,Failed,87.9
UK,Manchester,CS-4179,Level 2,Audi e-tron,Audi,95,20-Jan-25,20-Jan-25,169,90.26,14.46,Card,33.6,Aborted,33.3
Norway,Trondheim,CS-6736,Level 2,Chevy Bolt,Chevrolet,66,26-Jan-25,26-Jan-25,98,27.94,9.64,App,-0.4,Failed,26
Japan,Tokyo,CS-8074,DC Fast,Renault Zoe,Renault,52,19-Feb-25,19-Feb-25,21,49.79,11.87,Card,12.5,Aborted,76.5
Germany,Munich,CS-4213,DC Fast,Kia EV6,Kia,77,7-Mar-25,7-Mar-25,50,50.6,8.73,Card,23.6,Aborted,15.9
Australia,Melbourne,CS-4065,DC Fast,BYD Han,BYD,76,9-Jan-25,9-Jan-25,117,42.94,16.19,App,16.7,Aborted,66.1
Japan,Yokohama,CS-2100,Level 2,Nissan Leaf,Nissan,40,6-Feb-25,6-Feb-25,42,31.91,9.49,Card,20.9,Completed,55.1
Canada,Vancouver,CS-2534,DC Fast,Porsche Taycan,Porsche,93,10-Mar-25,10-Mar-25,42,5.93,1.05,Subscription,15.8,Failed,65
France,Lyon,CS-8990,DC Fast,Audi e-tron,Audi,95,2-Feb-25,2-Feb-25,115,46.68,14.18,Subscription,1,Completed,48.6
China,Shanghai,CS-5786,Level 2,Nissan Leaf,Nissan,40,9-Jan-25,9-Jan-25,44,34.1,10.88,App,8.7,Completed,51.7
India,Delhi,CS-2902,Level 1,Nissan Leaf,Nissan,40,22-Jan-25,22-Jan-25,127,30.27,7.14,App,-3.2,Failed,19.2
India,Bangalore,CS-9440,DC Fast,Nissan Leaf,Nissan,40,18-Feb-25,18-Feb-25,57,37.55,12.1,Card,17.1,Aborted,54.8
Norway,Oslo,CS-6199,Level 2,Porsche Taycan,Porsche,93,27-Jan-25,27-Jan-25,176,21.23,6.2,App,-3.8,Failed,80.6
Norway,Trondheim,CS-6181,Level 2,Porsche Taycan,Porsche,93,22-Feb-25,22-Feb-25,114,5.39,0.89,Subscription,27.3,Completed,56.2
Japan,Tokyo,CS-5677,DC Fast,Audi e-tron,Audi,95,20-Jan-25,20-Jan-25,98,22.74,3.05,App,16.1,Failed,35.1
Canada,Montreal,CS-4328,Level 2,Porsche Taycan,Porsche,93,8-Feb-25,8-Feb-25,165,15.05,3.09,Subscription,1.9,Failed,66.5
China,Shenzhen,CS-5552,Level 1,BYD Han,BYD,76,23-Jan-25,23-Jan-25,36,52.72,10.23,App,-0.3,Aborted,65.5
Japan,Osaka,CS-9080,Level 1,Porsche Taycan,Porsche,93,17-Mar-25,17-Mar-25,167,17.13,3.68,App,20.4,Failed,83.5
UK,Birmingham,CS-2758,Level 2,BMW i3,BMW,42,8-Jan-25,8-Jan-25,140,15.69,2.45,Subscription,-2.9,Aborted,86.1
Norway,Oslo,CS-3834,Level 2,Chevy Bolt,Chevrolet,66,13-Mar-25,14-Mar-25,113,63.79,16.05,App,22.4,Aborted,66.8
Norway,Bergen,CS-2159,Level 1,BMW i3,BMW,42,9-Jan-25,9-Jan-25,36,25.92,8.78,App,-3.7,Completed,53
UK,Manchester,CS-8935,Level 1,BYD Han,BYD,76,21-Feb-25,21-Feb-25,141,44.03,5.9,App,26,Aborted,53.4
USA,San Francisco,CS-1770,DC Fast,Kia EV6,Kia,77,9-Jan-25,9-Jan-25,154,20.74,4.72,Subscription,25.1,Aborted,80
USA,Los Angeles,CS-6301,Level 1,Hyundai Kona Electric,Hyundai,64,12-Jan-25,12-Jan-25,104,55.87,7.04,Card,3.4,Failed,57
India,Bangalore,CS-4694,Level 1,BYD Han,BYD,76,6-Apr-25,6-Apr-25,176,35.4,10.08,Card,27.2,Failed,38.1
China,Shenzhen,CS-7182,Level 2,Renault Zoe,Renault,52,1-Mar-25,2-Mar-25,58,20.21,6.29,Subscription,5.7,Failed,88.8
Germany,Berlin,CS-9591,Level 1,Porsche Taycan,Porsche,93,25-Feb-25,25-Feb-25,30,92.34,33.25,Subscription,29.6,Completed,21.7
India,Mumbai,CS-5305,DC Fast,Porsche Taycan,Porsche,93,16-Feb-25,16-Feb-25,140,17.51,5.07,App,10,Completed,60.7
Germany,Munich,CS-4932,Level 2,Renault Zoe,Renault,52,19-Feb-25,19-Feb-25,86,37.65,13.67,App,8.1,Completed,79.5
Germany,Hamburg,CS-4423,Level 1,Kia EV6,Kia,77,22-Mar-25,22-Mar-25,177,52.82,10.96,Subscription,10.9,Aborted,76
Norway,Bergen,CS-8272,DC Fast,Audi e-tron,Audi,95,14-Jan-25,14-Jan-25,87,35.4,9.68,App,26.5,Failed,71
USA,New York,CS-7574,Level 2,Kia EV6,Kia,77,20-Feb-25,20-Feb-25,19,13.95,4.98,App,-5,Aborted,26.2
UK,Birmingham,CS-5617,Level 1,Hyundai Kona Electric,Hyundai,64,5-Mar-25,5-Mar-25,55,56.59,20.54,Subscription,9.4,Completed,39.7
UK,London,CS-8855,Level 1,Porsche Taycan,Porsche,93,7-Mar-25,7-Mar-25,175,31.88,9.88,App,21.2,Failed,17.6
France,Lyon,CS-9313,Level 2,Nissan Leaf,Nissan,40,10-Mar-25,10-Mar-25,48,25.78,6.6,Card,-4.7,Aborted,75.4
Canada,Montreal,CS-2474,DC Fast,BMW i3,BMW,42,5-Mar-25,5-Mar-25,137,7.62,1.64,Card,-0.9,Aborted,80.5
UK,Manchester,CS-7056,DC Fast,BMW i3,BMW,42,13-Mar-25,13-Mar-25,179,41.74,5.96,Subscription,-4.7,Failed,23.1
India,Bangalore,CS-7943,DC Fast,Chevy Bolt,Chevrolet,66,14-Mar-25,14-Mar-25,175,50.64,19.04,Subscription,12.7,Completed,16.9
Germany,Berlin,CS-7765,Level 2,Nissan Leaf,Nissan,40,9-Mar-25,9-Mar-25,165,30.55,6.28,App,26.6,Completed,32.2
Germany,Berlin,CS-6162,DC Fast,Renault Zoe,Renault,52,3-Apr-25,3-Apr-25,168,33.2,9.37,Card,28.9,Failed,80.1
France,Nice,CS-7617,DC Fast,BYD Han,BYD,76,31-Jan-25,31-Jan-25,145,18.39,4,Card,26.4,Completed,49.6
Germany,Berlin,CS-5555,Level 1,Kia EV6,Kia,77,20-Jan-25,20-Jan-25,178,47.76,12.35,App,32.4,Completed,40.9
Australia,Melbourne,CS-3034,Level 1,Audi e-tron,Audi,95,5-Mar-25,5-Mar-25,154,66.46,21.85,Card,18.5,Completed,31
USA,New York,CS-4796,Level 2,Porsche Taycan,Porsche,93,24-Jan-25,24-Jan-25,144,30.21,9.48,App,23.1,Completed,61.2
Japan,Yokohama,CS-3687,Level 1,BMW i3,BMW,42,18-Jan-25,18-Jan-25,86,8.09,1,Card,16.5,Aborted,56.9
Germany,Munich,CS-2569,Level 2,Porsche Taycan,Porsche,93,22-Mar-25,22-Mar-25,76,10.1,1.27,Card,13.1,Failed,14.4
UK,London,CS-3007,Level 2,Tesla Model 3,Tesla,60,3-Feb-25,3-Feb-25,50,43.58,6.5,Subscription,15.7,Failed,30.7
India,Mumbai,CS-8642,Level 2,Hyundai Kona Electric,Hyundai,64,29-Mar-25,29-Mar-25,45,50.51,5.5,App,16,Aborted,67
Australia,Brisbane,CS-1603,Level 2,Nissan Leaf,Nissan,40,7-Mar-25,7-Mar-25,142,20.93,4.35,Subscription,1.7,Completed,30.4
Germany,Hamburg,CS-9234,Level 1,Nissan Leaf,Nissan,40,14-Feb-25,14-Feb-25,73,30.93,3.12,Card,-3.2,Aborted,40.6
UK,London,CS-4166,DC Fast,Tesla Model 3,Tesla,60,19-Mar-25,19-Mar-25,156,49.17,15.45,App,4,Completed,43.3
India,Delhi,CS-7389,Level 1,Nissan Leaf,Nissan,40,19-Mar-25,19-Mar-25,161,18.05,4.52,Card,3.9,Failed,88.5
Canada,Toronto,CS-3564,Level 1,Kia EV6,Kia,77,5-Mar-25,5-Mar-25,87,60.69,11.73,Subscription,13.3,Aborted,26.1
Australia,Melbourne,CS-4009,Level 2,BYD Han,BYD,76,28-Jan-25,28-Jan-25,77,37.94,10.53,Card,24.3,Failed,70.8
France,Paris,CS-3970,DC Fast,Tesla Model 3,Tesla,60,3-Mar-25,3-Mar-25,119,6.32,1.66,Subscription,30.1,Aborted,10.1
Canada,Montreal,CS-9262,Level 2,Hyundai Kona Electric,Hyundai,64,19-Mar-25,19-Mar-25,41,17.11,6.76,App,33.4,Completed,66.9
Germany,Berlin,CS-3011,Level 2,Chevy Bolt,Chevrolet,66,24-Mar-25,25-Mar-25,148,30.2,11.13,Subscription,-1.6,Completed,50.4
Canada,Toronto,CS-7877,Level 1,BYD Han,BYD,76,9-Feb-25,9-Feb-25,160,9.42,2.81,Card,6.7,Aborted,84.1
Canada,Montreal,CS-2598,Level 1,Audi e-tron,Audi,95,11-Feb-25,11-Feb-25,96,45.75,7.78,Card,26.2,Failed,18.7
Germany,Berlin,CS-1586,Level 2,Kia EV6,Kia,77,1-Mar-25,1-Mar-25,134,27.61,3.76,Card,13.1,Aborted,31.2
Germany,Berlin,CS-1836,Level 1,BMW i3,BMW,42,3-Apr-25,4-Apr-25,92,35.58,11,Card,28.4,Aborted,21.9
France,Lyon,CS-7332,Level 1,Porsche Taycan,Porsche,93,5-Feb-25,6-Feb-25,146,9.31,1.77,Card,33.1,Aborted,54.5
Japan,Tokyo,CS-5766,Level 1,Nissan Leaf,Nissan,40,3-Mar-25,3-Mar-25,133,8.57,2.9,Card,-2.5,Completed,20.5
Canada,Vancouver,CS-2734,Level 1,Nissan Leaf,Nissan,40,8-Jan-25,8-Jan-25,164,25.51,9.57,Card,34.9,Completed,82.2
Norway,Oslo,CS-3177,Level 1,Nissan Leaf,Nissan,40,4-Mar-25,4-Mar-25,99,9.29,3.56,Card,32,Aborted,75.7
Canada,Vancouver,CS-2367,Level 1,Tesla Model 3,Tesla,60,5-Feb-25,5-Feb-25,112,42.58,6.47,Card,6,Aborted,80.7
USA,San Francisco,CS-4033,Level 2,BYD Han,BYD,76,23-Mar-25,24-Mar-25,172,22.45,4.23,Subscription,14.2,Completed,32.4
UK,Manchester,CS-2080,DC Fast,Chevy Bolt,Chevrolet,66,27-Jan-25,27-Jan-25,179,58.96,15.2,Subscription,26.8,Aborted,72.6
India,Delhi,CS-7752,Level 2,Renault Zoe,Renault,52,11-Jan-25,11-Jan-25,139,21.17,5.71,App,5.8,Completed,35.5
France,Paris,CS-6860,Level 2,Hyundai Kona Electric,Hyundai,64,7-Apr-25,7-Apr-25,29,52.71,12.73,Subscription,35,Completed,18
France,Lyon,CS-9347,DC Fast,Renault Zoe,Renault,52,28-Mar-25,28-Mar-25,29,40.91,15.72,App,9.2,Completed,24.1
Australia,Melbourne,CS-6927,DC Fast,Audi e-tron,Audi,95,6-Feb-25,7-Feb-25,166,7.54,2.34,Subscription,0.7,Completed,76.9
Norway,Trondheim,CS-2250,Level 1,Hyundai Kona Electric,Hyundai,64,10-Mar-25,10-Mar-25,59,33.94,4.31,Subscription,3.8,Failed,48.2
India,Bangalore,CS-2312,Level 2,Chevy Bolt,Chevrolet,66,3-Feb-25,3-Feb-25,48,25.79,3.95,Card,-4.1,Failed,66.4
UK,London,CS-3022,DC Fast,Renault Zoe,Renault,52,3-Apr-25,3-Apr-25,108,50.15,10.64,App,18.4,Aborted,34.1
UK,London,CS-4859,Level 1,Porsche Taycan,Porsche,93,10-Feb-25,10-Feb-25,178,89.54,26.39,Subscription,33.7,Failed,81.2
Australia,Melbourne,CS-6970,DC Fast,Chevy Bolt,Chevrolet,66,17-Feb-25,17-Feb-25,165,54.68,11.68,Subscription,6.8,Completed,68.3
Australia,Melbourne,CS-6245,DC Fast,BYD Han,BYD,76,21-Jan-25,21-Jan-25,23,17.93,3.5,Card,20.6,Completed,84.9
UK,Manchester,CS-4077,DC Fast,Nissan Leaf,Nissan,40,31-Mar-25,1-Apr-25,75,17.14,3.36,Card,27.9,Failed,61.1
India,Delhi,CS-3182,Level 2,Tesla Model 3,Tesla,60,24-Jan-25,24-Jan-25,82,16.53,5.09,App,26.5,Failed,10.1
Canada,Vancouver,CS-8555,Level 2,Porsche Taycan,Porsche,93,20-Mar-25,20-Mar-25,57,82.84,20.54,App,16.8,Completed,76.3
Australia,Brisbane,CS-7590,Level 1,Chevy Bolt,Chevrolet,66,19-Feb-25,19-Feb-25,56,32.53,11.05,App,-4.2,Aborted,86.1
Germany,Munich,CS-6265,Level 1,BMW i3,BMW,42,5-Mar-25,5-Mar-25,111,10.95,1.34,App,18.8,Failed,81.5
USA,Los Angeles,CS-6942,Level 1,BMW i3,BMW,42,26-Jan-25,26-Jan-25,170,37.92,5.58,App,3.2,Completed,42.7
Japan,Yokohama,CS-5730,Level 1,Renault Zoe,Renault,52,17-Mar-25,17-Mar-25,82,36.05,6.82,Card,10.7,Failed,77.2
UK,London,CS-8620,DC Fast,Audi e-tron,Audi,95,11-Feb-25,11-Feb-25,15,43.48,8.19,Subscription,19,Completed,17.8
France,Paris,CS-4157,Level 2,Hyundai Kona Electric,Hyundai,64,28-Feb-25,28-Feb-25,35,32.94,4.44,App,14.6,Failed,31.2
Japan,Osaka,CS-6473,Level 2,BMW i3,BMW,42,10-Jan-25,10-Jan-25,109,37.76,7.96,Card,5.5,Aborted,31.1
China,Shenzhen,CS-5819,Level 1,Tesla Model 3,Tesla,60,22-Feb-25,22-Feb-25,53,46.37,13.92,Subscription,8.8,Failed,43.1
Australia,Sydney,CS-2588,Level 2,Renault Zoe,Renault,52,17-Jan-25,17-Jan-25,30,44.52,15.38,Subscription,22.5,Aborted,55.8
France,Lyon,CS-2139,Level 1,Hyundai Kona Electric,Hyundai,64,10-Jan-25,10-Jan-25,35,28.29,10.08,Subscription,17.8,Failed,74
Australia,Sydney,CS-4131,Level 1,Nissan Leaf,Nissan,40,1-Mar-25,1-Mar-25,129,11.05,4.37,Card,0,Aborted,16.3
Canada,Toronto,CS-4126,Level 1,BMW i3,BMW,42,2-Apr-25,2-Apr-25,167,14.54,5.43,Card,10.5,Aborted,54.2
China,Shenzhen,CS-2197,DC Fast,Kia EV6,Kia,77,4-Mar-25,4-Mar-25,18,61.63,17.68,App,-0.5,Completed,21.9
Australia,Brisbane,CS-3602,Level 2,Nissan Leaf,Nissan,40,2-Feb-25,2-Feb-25,42,24.69,3.22,Subscription,30.2,Aborted,31.1
Norway,Trondheim,CS-6766,Level 1,BYD Han,BYD,76,31-Mar-25,31-Mar-25,136,7.66,1.4,Subscription,19.3,Failed,42.1
Canada,Vancouver,CS-2258,Level 2,Chevy Bolt,Chevrolet,66,11-Jan-25,11-Jan-25,27,50.49,19,Card,8.5,Aborted,34.9
Norway,Trondheim,CS-3961,Level 2,Nissan Leaf,Nissan,40,9-Mar-25,9-Mar-25,73,9.7,3.8,App,5.8,Aborted,58.4
Germany,Berlin,CS-8753,Level 2,Kia EV6,Kia,77,30-Mar-25,30-Mar-25,69,70.77,15.72,Subscription,29.7,Completed,51.2
UK,London,CS-2419,DC Fast,Hyundai Kona Electric,Hyundai,64,9-Jan-25,9-Jan-25,144,28.8,9.62,Subscription,-3.8,Completed,80
France,Paris,CS-9798,DC Fast,Chevy Bolt,Chevrolet,66,18-Feb-25,18-Feb-25,23,32.84,12.33,Card,6,Aborted,50.4
Germany,Hamburg,CS-2857,Level 1,Tesla Model 3,Tesla,60,18-Jan-25,18-Jan-25,76,25.49,7.09,App,18.5,Aborted,37.5
China,Shenzhen,CS-6312,DC Fast,Nissan Leaf,Nissan,40,7-Mar-25,7-Mar-25,87,5.96,0.68,Card,29.3,Failed,28
France,Lyon,CS-2921,DC Fast,Porsche Taycan,Porsche,93,22-Jan-25,22-Jan-25,146,6.76,2.26,Card,14,Completed,61.8
Australia,Sydney,CS-2077,DC Fast,Chevy Bolt,Chevrolet,66,27-Mar-25,27-Mar-25,79,42.11,16.12,Subscription,20.7,Aborted,81.6
India,Delhi,CS-2958,DC Fast,Hyundai Kona Electric,Hyundai,64,30-Mar-25,30-Mar-25,70,32.54,9.86,App,18.4,Completed,50.9
India,Bangalore,CS-7471,Level 2,BYD Han,BYD,76,18-Mar-25,18-Mar-25,170,25.07,7.65,Card,8.5,Aborted,61.2
China,Shanghai,CS-3937,Level 1,Hyundai Kona Electric,Hyundai,64,23-Jan-25,23-Jan-25,63,13.85,4.57,Subscription,11.2,Aborted,64.5
